artist_id,genre
25uiPmTg16RbhZWAqwLBy5,uk pop
2KEqzdPS7M5YwGmiuPTdr5,art pop
2KEqzdPS7M5YwGmiuPTdr5,electropop
2KEqzdPS7M5YwGmiuPTdr5,escape room
2KEqzdPS7M5YwGmiuPTdr5,indie pop
4fd3n8zcAmsG2up1QWDNj5,south african alternative
4fd3n8zcAmsG2up1QWDNj5,south african electronic
6HwxMgE895sejjGFin9Gvm,afro soul
6HwxMgE895sejjGFin9Gvm,south african pop
6HwxMgE895sejjGFin9Gvm,south african pop dance
22KyrgRdE2K6aB5wtZls3c,indie hip hop
68kEuyFKyqrdQQLLsmiatm,conscious hip hop
68kEuyFKyqrdQQLLsmiatm,hip hop
68kEuyFKyqrdQQLLsmiatm,rap
68kEuyFKyqrdQQLLsmiatm,underground hip hop
4kIwETcbpuFgRukE8o7Opx,indie pop
4kIwETcbpuFgRukE8o7Opx,indie soul
4kIwETcbpuFgRukE8o7Opx,uk contemporary r&b
1ybINI1qPiFbwDXamRtwxD,alternative r&b
0Wwji82sLA0Hcvtuak3omb,alternative r&b
0Wwji82sLA0Hcvtuak3omb,modern indie pop
2LIk90788K0zvyj2JJVwkJ,deep underground hip hop
2LIk90788K0zvyj2JJVwkJ,kentucky hip hop
2LIk90788K0zvyj2JJVwkJ,pop rap
2LIk90788K0zvyj2JJVwkJ,rap
7Hjbimq43OgxaBRpFXic4x,alternative r&b
7Hjbimq43OgxaBRpFXic4x,chicago rap
4lPl9gqgox3JDiaJ1yklKh,alternative r&b
1YfEcTuGvBQ8xSD1f53UnK,east coast hip hop
